2023-11-03 11:53:49,943 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-03 11:53:55,180 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-03 11:54:00,365 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to DEL
2023-11-03 11:54:00,529 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  30/10/2023
2023-11-03 11:54:00,770 INFO [test_flights_search] | test_flights_search.py(test_flights_search:63) | - number of adults are  1
2023-11-03 11:54:00,927 INFO [test_flights_search] | test_flights_search.py(test_flights_search:68) | - number of children are  1
2023-11-03 11:54:01,070 INFO [test_flights_search] | test_flights_search.py(test_flights_search:73) | - number of infants are  1
2023-11-03 11:57:02,263 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-03 11:57:02,389 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-03 11:57:02,809 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-03 11:57:08,063 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-03 11:57:13,254 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to DEL
2023-11-03 11:57:13,427 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-03 11:57:13,691 INFO [test_flights_search] | test_flights_search.py(test_flights_search:63) | - number of adults are  1
2023-11-03 11:57:13,845 INFO [test_flights_search] | test_flights_search.py(test_flights_search:68) | - number of children are  1
2023-11-03 11:57:13,986 INFO [test_flights_search] | test_flights_search.py(test_flights_search:73) | - number of infants are  1
2023-11-04 12:06:22,510 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:06:23,124 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:06:23,213 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-04 12:06:28,478 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-04 12:06:33,681 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to HGH
2023-11-04 12:06:33,874 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:06:34,178 INFO [test_flights_search] | test_flights_search.py(test_flights_search:63) | - number of adults are  1
2023-11-04 12:06:34,339 INFO [test_flights_search] | test_flights_search.py(test_flights_search:68) | - number of children are  1
2023-11-04 12:06:34,500 INFO [test_flights_search] | test_flights_search.py(test_flights_search:73) | - number of infants are  1
2023-11-04 12:07:32,831 INFO [test_flights_search] | test_flights_search.py(test_flights_search:81) | - expected_result: No Results Found
2023-11-04 12:07:38,002 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:07:38,002 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:07:38,119 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:07:38,119 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:07:38,507 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-04 12:07:38,507 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-04 12:07:43,692 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-04 12:07:43,692 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-04 12:07:48,803 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to HGH
2023-11-04 12:07:48,803 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to HGH
2023-11-04 12:07:48,973 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:07:48,973 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:07:49,218 INFO [test_flights_search] | test_flights_search.py(test_flights_search:63) | - number of adults are  1
2023-11-04 12:07:49,218 INFO [test_flights_search] | test_flights_search.py(test_flights_search:63) | - number of adults are  1
